idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
256,frame_000360.jpg,18,0.10932688415050507,0.09693789841590056,0.0891459584236145,0.01657906360924244,0.5225613229775966,1547.3664440686132
257,frame_000361.jpg,18,0.11202643066644669,0.15106151069742013,0.14625316858291626,0.020082663744688034,0.451932336390732,1351.675118046018
258,frame_000362.jpg,18,0.10798849165439606,0.11036069446529549,0.10407588630914688,0.011054028756916523,0.6231669587842499,1442.5527100383429
259,frame_000363.jpg,18,0.11041802167892456,0.14447189743094216,0.1378878951072693,0.010888265445828438,0.5854389824183843,1701.933768599027
260,frame_000364.jpg,18,0.1226022019982338,0.07044566542441799,0.0642709955573082,0.02480141445994377,0.3954879129925686,1667.079765110297
261,frame_000365.jpg,18,0.12048400938510895,0.11205608167139532,0.10352447628974915,0.010231226682662964,0.6260366553398986,1537.0626765630677
262,frame_000366.jpg,18,0.11827468872070312,0.13727056153351969,0.12978656589984894,0.007677181623876095,0.658052672040742,1546.8485126040707
263,frame_000367.jpg,18,0.12029533088207245,0.16901158978023606,0.16175541281700134,0.004803464747965336,0.7664969401031773,1628.1263510334607
264,frame_000368.jpg,18,0.1174589991569519,0.18069687077453003,0.17602597177028656,0.00425321701914072,0.7893216810559122,1439.8619313099205
265,frame_000369.jpg,18,0.12250269949436188,0.1705000861901712,0.16289009153842926,0.017759084701538086,0.4464147860839129,1392.9445557241718
266,frame_000370.jpg,18,0.12177121639251709,0.18976192424573196,0.18253199756145477,0.011979646980762482,0.592944432300196,1526.8659107769056
267,frame_000371.jpg,18,0.12261412292718887,0.14769919029249362,0.14148569107055664,0.008282806724309921,0.6357123567094999,1729.836573475146
268,frame_000372.jpg,18,0.12125788629055023,0.1042473195346645,0.09736167639493942,0.008899262174963951,0.6483379816647331,1460.567588473687
269,frame_000373.jpg,18,0.11969593912363052,0.0978872060409887,0.09179651737213135,0.003221717895939946,0.8266220985407077,1701.0133544170117
270,frame_000374.jpg,18,0.11958415061235428,0.09371474292919271,0.08671003580093384,0.0016149888979271054,0.896869417419222,1493.766283159938
271,frame_000375.jpg,18,0.12221973389387131,0.13455631098391385,0.1272338181734085,0.016355279833078384,0.48134024928775,1659.9754281033047
272,frame_000376.jpg,18,0.124087855219841,0.09836078753781961,0.09088784456253052,0.007303630467504263,0.6974457328285303,1542.5697108202198
273,frame_000377.jpg,18,0.12455445528030396,0.08097416650089916,0.0733555480837822,0.011840630322694778,0.6185718438781332,1510.383706159898
274,frame_000378.jpg,18,0.12289722263813019,0.10268576568004412,0.0951714888215065,0.002552584744989872,0.8582770558568834,1402.9368871928934
275,frame_000379.jpg,18,0.11737240105867386,0.179815222618753,0.1736832708120346,0.011374833062291145,0.5730349458024958,1626.6020627551998
276,frame_000380.jpg,18,0.11673401296138763,0.18924108720607352,0.18281538784503937,0.006454413756728172,0.7368601614610851,1608.4408003366718
277,frame_000381.jpg,18,0.11751605570316315,0.1907883857638764,0.18383795022964478,0.0018321704119443893,0.8997303797022139,1513.3523058932205
278,frame_000382.jpg,18,0.11551918089389801,0.20013671734032706,0.19394956529140472,0.0028930145781487226,0.8522611682523905,1354.6441407151867
279,frame_000383.jpg,18,0.13164401054382324,0.12935867521948669,0.12428856641054153,0.0391756035387516,0.24660044023543382,1664.4514115482923
280,frame_0003832.jpg,18,0.09900891780853271,0.11480670054120369,0.10978438705205917,0.05080941319465637,0.18529087492047905,1275.5275799802107
281,frame_000384.jpg,18,0.13070937991142273,0.13421567733294212,0.12648743391036987,0.05065229907631874,0.18305096681330196,1971.0455461062686
282,frame_0003842.jpg,18,0.0960552915930748,0.13083786579762455,0.12636534869670868,0.048567283898591995,0.20916856771797954,1556.4398629943387
283,frame_000385.jpg,18,0.13086535036563873,0.1280123320320286,0.12094076722860336,0.046991392970085144,0.2144700519634624,1765.3062737161852
284,frame_000386.jpg,18,0.12806539237499237,0.13461142655512429,0.12750735878944397,0.0024425210431218147,0.835099701308004,1580.3163213033379
285,frame_000387.jpg,18,0.11948077380657196,0.15384499427877285,0.14546452462673187,0.017888471484184265,0.38804991049594467,1500.6064604160244
